14,5,84,9,7,4,44,5,84,9
4,39,79,44,5,88,4,50,53,4
45,59,67,3,76,3,0,4,6,19
7,9,6,9,27,0,0,14,53,64
8,66,4,67,1,3,0,7,93,56
77,41,56,12,10,4,7,23,7,99
10,89,45,123,78,41,23,12,10,49
7,5,22,14,78,43,55,41,10,13
41,45,13,15,19,57,66,55,44,50
44,888,89,49,27,48,33,88,84,65
144,5,84,9,7,4,44,5,84,9
4,396,79,44,5,88,4,50,53,4
45,598,67,3,76,3,0,4,6,19
7,9,6,96,27,0,0,14,53,64
87,66,4,67,1,3,0,7,93,56
79,41,56,12,10,4,7,23,7,99
100,89,45,123,78,41,23,12,10,49
7,501,22,14,78,43,55,41,10,13
414,451,13,15,19,57,66,55,44,50
444,1,89,49,27,48,33,88,84,65
447,39,79,44,5,88,4,50,53,4
45,596,67,3,76,3,0,4,6,19
787,999,6,9,27,0,0,14,539,64
8,66,4,67,1,3,0,7,936,5654
777,541,56,12,10,4,7,23,7,99
